tAhead,hForecasted,forecaopenstfitInsol,persistence
1.25,23,0.0,0.9000000000011491
1.5,0,0.0,0.9000000000011491
1.5,1,0.0,0.9000000000011491
1.5,2,0.0,0.9000000000011491
1.5,3,0.0,0.9000000000011491
1.5,4,0.0,0.9000000000011491
1.5,5,0.0,0.9000000000011491
1.5,6,0.0,0.9000000000011491
1.5,7,0.19539510346367253,0.8989448532884452
1.5,8,0.5257797003076197,0.3742202996924009
1.5,9,0.7281015065056632,0.3541747207423397
1.5,10,0.7590714068900759,0.3409285931546917
1.5,11,0.8679337450040566,0.23206625514402177
1.5,12,0.7432860722996267,0.35506465951313704
1.5,13,0.7432860722996267,0.35506465951313704
1.5,14,0.6567927745986277,0.41288908460743934
1.5,15,0.24254096354025592,0.6574590364404389
1.5,16,7.700010073996566e-11,0.9000000000025385
1.5,17,7.700010073996566e-11,0.9000000000025385
1.5,18,7.700010073996566e-11,0.9000000000025385
1.5,19,7.700010073996566e-11,0.9000000000025385
1.5,20,7.700010073996566e-11,0.9000000000025385
1.5,21,7.700010073996566e-11,0.9000000000025385
1.5,22,7.700010073996566e-11,0.9000000000025385
1.5,23,7.700010073996566e-11,0.9000000000025385
1.75,0,7.700010073996566e-11,0.9000000000025385
1.75,1,7.700010073996566e-11,0.9000000000025385
1.75,2,7.700010073996566e-11,0.9000000000025385
1.75,3,7.700010073996566e-11,0.9000000000025385
1.75,4,7.700010073996566e-11,0.9000000000025385
1.75,5,7.700010073996566e-11,0.9000000000025385
1.75,6,7.700010073996566e-11,0.9000000000025385
1.75,7,0.19539510429379964,0.8989448527357444
1.75,8,0.557178642944247,0.34282135705575306
1.75,9,0.734090601961653,0.3629823192831426
1.75,10,0.8643240537876877,0.23567594588039265
1.75,11,0.8750646446460042,0.22493535607873275
1.75,12,0.8051795682939072,0.2948204317013913
1.75,13,0.8051795682939072,0.2948204317013913
1.75,14,0.6873519875087972,0.3629652864029519
1.75,15,0.3195964036964558,0.5804035962768402
1.75,16,0.0,0.9000000000002226
1.75,17,0.0,0.9000000000002226
1.75,18,0.0,0.9000000000002226
1.75,19,0.0,0.9000000000002226
1.75,20,0.0,0.9000000000002226
1.75,21,0.0,0.9000000000002226
1.75,22,0.0,0.9000000000002226
1.75,23,0.0,0.9000000000002226
2.0,0,0.0,0.9000000000002226
2.0,1,0.0,0.9000000000002226
2.0,2,0.0,0.9000000000002226
2.0,3,0.0,0.9000000000002226
2.0,4,0.0,0.9000000000002226
2.0,5,0.0,0.9000000000002226
2.0,6,0.0,0.9000000000002226
2.0,7,0.19539510346134828,0.8989448532883338
2.0,8,0.5581399380505329,0.3418600619485943
2.0,9,0.7623322953303863,0.3376677046722344
2.0,10,0.8799288803223315,0.2200711196753482
2.0,11,0.898604096431657,0.2013959033150559
2.0,12,0.7492385843419822,0.35076141394749444
2.0,13,0.7492385843419822,0.35076141394749444
2.0,14,0.6859417768441514,0.376950701949443
2.0,15,0.5233172065440428,0.3766827934559045
2.0,16,1.5692336319261813e-10,0.9000000000011834
2.0,17,1.5692336319261813e-10,0.9000000000011834
2.0,18,1.5692336319261813e-10,0.9000000000011834
2.0,19,1.5692336319261813e-10,0.9000000000011834
2.0,20,1.5692336319261813e-10,0.9000000000011834
2.0,21,1.5692336319261813e-10,0.9000000000011834
2.0,22,1.5692336319261813e-10,0.9000000000011834
2.0,23,1.5692336319261813e-10,0.9000000000011834
2.25,0,1.5692336319261813e-10,0.9000000000011834
2.25,1,1.5692336319261813e-10,0.9000000000011834
2.25,2,1.5692336319261813e-10,0.9000000000011834
2.25,3,1.5692336319261813e-10,0.9000000000011834
2.25,4,1.5692336319261813e-10,0.9000000000011834
2.25,5,1.5692336319261813e-10,0.9000000000011834
2.25,6,1.5692336319261813e-10,0.9000000000011834
2.25,7,0.1953951038458639,0.8989448530880194
2.25,8,0.5973341480832456,0.5026658519167418
2.25,9,0.7900091139756404,0.25704717952487005
2.25,10,0.8818203710384622,0.2181796287493247
2.25,11,0.908490536243416,0.19150946706708882
2.25,12,0.8048962863285153,0.29510371363910165
2.25,13,0.7591615580536334,0.34083844200165475
2.25,14,0.6873560379600423,0.3640004198333002
2.25,15,0.5802039043806798,0.31979609562011857
2.25,16,0.0,0.8999999999999452
2.25,17,0.0,0.8999999999999452
2.25,18,0.0,0.8999999999999452
2.25,19,0.0,0.8999999999999452
2.25,20,0.0,0.8999999999999452
2.25,21,0.0,0.8999999999999452
2.25,22,0.0,0.8999999999999452
2.25,23,0.0,0.8999999999999452
2.5,0,0.0,0.8999999999999452
2.5,1,0.0,0.8999999999999452
